Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
TORBAR,4.6,De 31 € à 50 €,Française - Traditionnelle,"['fruits', 'sole', 'filet', 'sellerie', 'miesmuscheln', 'grne', 'gerucherter', 'laktose', 'dauvergne', 'canard', 'alkohol', 'radieschen', 'pav', 'garnelen', 'alpage', 'lime', 'tricolore', 'portweingelee', 'creme', 'martini', 'und', 'le', 'kruterbutter', 'licor', 'amalfi', 'chocolate', 'marnier', 'chateaubriand', 'flambiert', 'frites', 'grner', 'crme', 'gillardeau', 'de', 'poivre', 'spinat', 'crotons', 'petersilienkartoffeln', 'ca', 'gin', 'agua', 'grey', 'trffel', 'mimosa', 'cru', 'stck', 'parmigiana', 'tatin', 'confiert', 'wildfang', 'lemon', 'tomaten', 'min', 'la', 'bohnen', 'gruyere', 'pflaumensauce', 'oeufs', 'zaza', 'bulots', 'aubergine', 'blini', 'sbagliato', 'fischsuppe', 'ojo', 'cdeijk', 'olive', 'sour', 'grapefruit', 'persillade', 'blattspinat', 'manzana', 'hendricks', 'tartare', 'goose', 'tisch', 'krustentiere', 'sardines', 'choco', 'torbar', 'kapern', 'fisch', 'claire', 'campari', 'imperial', 'morcheljus', 'ziegenkse', 'negroni', 'cocktailsauce', 'sauce', 'vodka', 'gras', 'saisonale', 'suzette', 'weichtiere', 'croquettes', 'entrecte', 'vinaigrette', 'bouillabaisse', 'trffelmayonnaise', 'crevetten', 'cte', 'lachs', 'gruyre', 'blattsalate', 'meunire', 'crpes', 'pommes', 'fizz', 'saucen', 'au', 'tatar', 'bernaise', 'prosecco', 'scamorza', 'aioli', 'rouille', 'souffl', 'burrata', 'braune', 'shrimp', 'tomate', 'ei', 'boeuf', 'croutons', 'senf', 'gluten', 'mit', 'vanillesauce', 'nr', 'gambas', 'mezcal', 'gurke', 'fromage', 'nsse', 'paris', 'stunden', 'eier', 'saint', 'caviar', 'ganze', 'escargots', 'petit', 'meersalz', 'allergene', 'jus', 'kahlua', 'risotto', 'nach', 'foie', 'espresso', 'roastbeef', 'cuisse', 'mer', 'am', 'pancakes', 'karamelisiert', 'schnecken', 'langostinos', 'four', 'zwiebel', 'roquefort', 'beilagen', 'chimichurri', 'orange', 'kruter', 'frache', 'kandierte', 'eiscreme', 'zitrone', 'ratatouille', 'zwiebelchutney', 'cidre', 'birnenkuchen', 'wahl', 'vermouth', 'mignonette', 'butter', 'nectaire', 'zwei', 'farro', 'vieux', 'seezunge', 'caf', 'double', 'grand', 'geruchert', 'weisswein', 'schwertmuscheln', 'shrimps', 'mayonnaise', 'grandiose', 'carottes', 'pilze', 'cocktail', 'ente', 'fines', 'pistazien', 'lendenstck', 'tarte', 'saisonaler', 'brle', 'austern', 'truffe', 'moules', 'agave', 'salat', 'tequila', 'frischer', 'pistazie', 'bleu', 'sulfite', 'barnaise', 'gran', 'cantal', 'warmer', 'olivenl', 'pinienkerne', 'cheeseburger', 'g', 'crepes', 'knoblauch']"
Seaside – Fish & Seafood Bar,4.6,De 31 € à 50 €,Fruits de mer,[]
Hauptstadtrestaurant Gendarmerie,4.5,De 31 € à 50 €,Française,"['krbissuppe', 'reis', 'gendarmerie', 'krbiskerne', 'feigenchutney', 'caesar', 'junger', 'garnelen', 'zweierlei', 'pfel', 'gnseleber', 'dutzend', 'edelfischfilets', 'kruterbutter', 'marseillaise', 'kartoffeln', 'auster', 'chateaubriand', 'ssskartoffelmousseline', 'knigsberger', 'frites', 'der', 'kokospanna', 'crme', 'gillardeau', 'de', 'crotons', 'rotgarnelen', 'gruyter', 'wasabicrme', 'muschel', 'marinierte', 'trffel', 'mont', 'stck', 'oder', 'perle', 'rote', 'wildfang', 'granatapfel', 'bacon', 'krbisrisotto', 'crottin', 'gegrillte', 'knusperkapern', 'meeresbrise', 'trffelpree', 'passe', 'turf', 'ganzer', 'green', 'blattspinat', 'trffelpommes', 'kruterjus', 'schalottenessig', 'wakame', 'kartoffelstampf', 'lachsfilet', 'tagre', 'kapern', 'gemsetatar', 'vierge', 'and', 'krystale', 'hummersalat', 'sepiamayonnaise', 'kartoffelsalat', 'wiener', 'saintmichel', 'eigelb', 'kalbsleber', 'imperial', 'vom', 'sashimi', 'preiselbeeren', 'artischockensalat', 'rauke', 'sauce', 'vegane', 'rohmilchkse', 'entrecte', 'haselnuss', 'bouillabaisse', 'lachs', 'pistazieneis', 'pumpernickel', 'pommes', 'bratkartoffeln', 'von', 'cornichons', 'au', 'pfeffersauce', 'vegetarische', 'tatar', 'aioli', 'rahmsauce', 'hummer', 'rouille', 'marquise', 'gemse', 'burrata', 'ei', 'kartoffelgratin', 'krutercrme', 'surf', 'dry', 'gemsereibekuchen', 'choi', 'klopse', 'brandenburg', 'kernl', 'senf', 'argentinische', 'lammkotelett', 'pak', 'feigensenf', 'sesam', 'keniabohnen', 'pok', 'chocolat', 'franzsischem', 'kartoffelpree', 'salad', 'pierre', 'estragonbutter', 'edelpilze', 'rauberginenkaviar', 'mangoananaschutney', 'jus', 'hummerbisque', 'blinis', 'avocado', 'garnele', 'paprika', 'zwiebeln', 'l', 'jakobsmuschelngarnelenspie', 'bowl', 'trffelbutter', 'saisonales', 'datteltomaten', 'thunfischsteak', 'heilbuttfilet', 'du', 'beeren', 'limettencrme', 'cranberry', 'frache', 'variationen', 'winterkabeljau', 'tbone', 'bourbonmadagaskarvanille', 'heilbutt', 'algen', 'grillgemse', 'majoran', 'schalotten', 'feldsalat', 'bete', 'gamba', 'schnitzel', 'mango', 'rettich', 'steak', 'steirisches', 'feigen', 'pavlova', 'erbsen', 'salatbouquet', 'canada', 'trfel', 'passionsfrucht', 'qualitt', 'parmesan', 'gurkensalat', 'himbeerragout', 'brle', 'austern', 'rinderfilet', 'chavignolrisotto', 'austernbrot', 'thunfisch', 'lauch', 'skrei', 'walnuss', 'schnittlauch', 'barnaise', 'brioche', 'kaviar', 'pfifferlingcremesuppe', 'aged', 'cotta', 'spitzkohlfondue', 'pinienkerne', 'safran', 'hauptgerichte', 'g']"
Klinke,4.3,De 31 € à 50 €,Allemande,[]
To The Bone,4.5,De 31 € à 50 €,Italienne,[]
26 Shibuya Berlin,4.8,30 € ou moins,Asiatique,[]
The Dawn,4.1,30 € ou moins,Déjeuner,[]
Chicago Williams BBQ,4.4,De 31 € à 50 €,Américaine,"['ribs', 'philly', 'cole', 'soup', 'onion', 'any', 'baba', 'creme', 'more', 'french', 'monday', 'cauliflower', 'only', 'at', 'belgian', 'fam', 'fried', 'smoked', 'per', 'friday', 'sauerkraut', 'pure', 'waffle', 'honey', 'reuben', 'pesto', 'ny', 'merguez', 'it', 'cornbread', 'pomegranate', 'parsley', 'topped', 'waffles', 'wednesday', 'sirup', 'meat', 'kosher', 'persons', 'and', 'russian', 'market', 'ganoush', 'grilled', 'buffalo', 'sauce', 'cheesy', 'almost', 'platters', 'ends', 'fries', 'burnt', 'veal', 'theres', 'eggplant', 'rye', 'pork', 'cheese', 'bread', 'au', 'price', 'maple', 'side', 'person', 'add', 'including', 'wheres', 'roasted', 'no', 'oyster', 'succulent', 'fritters', 'as', 'pickles', 'chicken', 'broccoli', 'turn', 'trio', 'day', 'walnut', 'with', 'chocolat', 'into', 'salad', 'hampseed', 'minimum', 'quantities', 'sandwich', 'mash', 'pastrami', 'get', 'corn', 'pulled', 'slaw', 'cheesecake', 'mousse', 'mac', 'caesars', 'some', 'butter', 'syrup', 'oil', 'cheesesteak', 'baked', 'dressing', 'double', 'meatz', 'or', 'pieces', 'gravy', 'bbq', 'beef', 'limited', 'say', 'mushroom', 'way', 'brisket', 'mustard', 'regular', 'blueberry', 'a', 'beans', 'because', 'juicy']"
Schankhalle Braugasthaus,4.5,30 € ou moins,Brasserie,"['cuba', 'whiskey', 'sptburgunder', 'wildwechsel', 'dorsa', 'grad', 'rotwein', 'international', 'macchiato', 'pfefferberg', 'blanc', 'tee', 'trocken', 'milchkaffee', 'cuve', 'williams', 'abv', 'alcolon', 'pfirsich', 'apfel', 'bernardmassard', 'unit', 'kir', 'spritz', 'power', 'kabinett', 'edelsss', 'rote', 'frwechheit', 'scheurebe', 'cappuccino', 'tradition', 'royal', 'mule', 'sauvignon', 'berliner', 'maisels', 'dalwhinnie', 'korn', 'in', 'tanqueray', 'stammwrze', 'merlot', 'hendricks', 'burgunder', 'ohne', 'versuchung', 'mllerthurgau', 'aus', 'schnauze', 'privat', 'pinot', 'smiling', 'especial', 'bourbon', 'doppelter', 'vodka', 'eine', 'bittereinheit', 'tullamore', 'fanta', 'malt', 'bitterness', 'alkoholgehalt', 'birne', 'rhabarber', 'irish', 'brauhauswasser', 'fruchtige', 'hugo', 'london', 'coca', 'vio', 'aperol', 'dry', 'riesling', 'alkoholfrei', 'no', 'soda', 'sprite', 'noir', 'single', 'mit', 'libre', 'unbeschwerte', 'weisse', 'dew', 'weier', 'brandstifter', 'fassbrause', 'schorle', 'americano', 'weiswein', 'espresso', 'weiburgunder', 'ingwer', 'johannisberg', 'ipa', 'ibu', 'volume', 'orange', 'by', 'zitrone', 'plato', 'mix', 'fuzetea', 'cabernet', 'kangaroohs', 'berlin', 'auslese', 'rixdorfer', 'schwarzbier', 'cola', 'alcohol', 'ramazzotti', 'glenfiddich', 'mampe', 'chardonnay', 'pils', 'zero', 'monkey', 'sonnenberg', 'juice', 'luft', 'sprudel', 'ros', 'goldmuskateller', 'bulleit', 'sommermrchen', 'halb', 'mezzo', 'latte', 'minze', 'flower', 'frischer', 'kessheit', 'y', 'acolon', 'pampero', 'obstwasser', 'shoulder', 'feinherb', 'brut', 'grauer', 'weizen']"
MAREDO Berlin Potsdamer Platz Arkaden,3.8,30 € ou moins,Côte de bœuf,[]
