Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
The Mussel and Steak Bar,4.6,De 26 £ à 40 £,Écossaise,"['skink', 'veg', 'sunday', 'haddock', 'pastry', 'style', 'gyoza', 'japanese', 'dressed', 'soup', 'is', 'leek', 'whisky', 'onion', 'white', 'creme', 'micro', 'two', 'linguini', 'monday', 'order', 'wrapped', 'home', 'fried', 'smoked', 'crispy', 'beer', 'soy', 'cream', 'peppercorn', 'egg', 'grown', 'noodles', 'mussel', 'nuts', 'fish', 'loing', 'of', 'in', 'turf', 'pomegranate', 'beansprouts', 'parsley', 'tartare', 'herb', 'bar', 'cullen', 'kilo', 'made', 'rope', 'peas', 'gb', 'sauce', 'on', 'pine', 'haggis', 'chips', 'toasted', 'last', 'pork', 'crevettes', 'wellington', 'bread', 'marinated', 'mixed', 'aioli', 'dipping', 'dumplings', 'surf', 'toppings', 'chowder', 'potato', 'sesame', 'choi', 'chicken', 'pm', 'karaage', 'pak', 'sourced', 'day', 'with', 'mussels', 'sauces', 'lunch', 'salad', 'puff', 'fresh', 'wine', 'noodle', 'mediterranean', 'am', 'chilli', 'brulee', 'vegetables', 'the', 'served', 'bone', 'butter', 'oz', 'ice', 'scottish', 'ramen', 'sorbet', 'broth', 'or', 'steak', 'battered', 'saturday', 'beef', 'whte', 'cooked', 'garlic', 'locally', 'scoops', 'celery', 'loin', 'rich', 'menu', 'dripping', 'garden', 'a', 'spring', 'choice', 'shallots']"
Haute Dolci Edinburgh,4.1,25 £ ou moins,Dessert,[]
Piccolino,4.6,De 26 £ à 40 £,Italienne,[]
Gordon Ramsay Street Burger - Edinburgh,4.1,25 £ ou moins,Burgers,[]
Boteco Do Brasil - Edinburgh,3.7,25 £ ou moins,Brésilienne,"['cod', 'chilly', 'vegetais', 'pastry', 'mariscos', 'onion', 'lime', 'alho', 'tomatoes', 'olives', 'leaves', 'prawns', 'everyday', 'de', 'rosemary', 'azeitonas', 'cakes', 'at', 'fried', 'crispy', 'chili', 'salt', 'lula', 'banana', 'offer', 'fish', 'cassava', 'glass', 'of', 'calabresa', 'pomegranate', 'po', 'squid', 'and', 'caprese', 'grilled', 'basil', 'pimenta', 'dore', 'chillies', 'all', 'toasted', 'tomato', 'e', 'sausages', 'pork', 'cheese', 'bread', 'marinated', 'mixed', 'salada', 'pickled', 'passarinho', 'potato', 'dough', 'mini', 'chicken', 'mayo', 'coxinha', 'halloumi', 'tapas', 'day', 'acebolada', 'with', 'mussels', 'cherry', 'fresh', 'pan', 'skewers', 'potatoes', 'frango', 'manjiocaida', 'frita', 'available', 'peppered', 'served', 'panfried', 'mozzarella', 'da', 'plantain', 'bolinhos', 'baked', 'light', 'brazilian', 'pieces', 'macaxeira', 'thin', 'caipirinha', 'cocktail', 'balls', 'palm', 'hearts', 'filled', 'garlic', 'terra', 'vegetable', 'queijo', 'bacalhau', 'espetinho', 'risoli', 'biquinho', 'palmito', 'camaro', 'a']"
The Basement,4.6,De 26 £ à 40 £,Mexicaine,[]
McLarens on the Corner,4.3,25 £ ou moins,Britannique,[]
Society Bar & Kitchen,4.6,25 £ ou moins,Méditerranée,[]
Gaucho Edinburgh,4.5,41 £ et plus,Steak,[]
Amalfino - Four Points Edinburgh,3.5,De 26 £ à 40 £,Italienne,"['salsiccia', 'marzano', 'pistachio', 'bottega', 'genovese', 'sardegna', 'charge', 'caesar', 'adige', 'montepulciano', 'focaccia', 'blanc', 'tomatoes', 'expressed', 'amalfino', 'chablis', 'vvegf', 'amalfi', 'asparagus', 'olives', 'aziano', 'familia', 'bolognese', 'chianti', 'de', 'rosemary', 'organic', 'valent', 'chieti', 'smoked', 'rigatoni', 'bardolino', 'spritz', 'pommery', 'will', 'cream', 'friuli', 'dalba', 'antica', 've', 'grissini', 'friarielli', 'serafino', 'lemon', 'doc', 'sicilia', 'della', 'la', 'milk', 'pesto', 'aubergine', 'royal', 'delle', 'sauvignon', 'of', 'mendoza', 'parma', 'in', 'service', 'bruschetta', 'green', 'merlot', 'rose', 'sicily', 'nero', 'classico', 'diavola', 'malbec', 'provence', 'gf', 'trentinoalto', 'champagne', 'new', 'and', 'san', 'pound', 'spumante', 'les', 'sterling', 'pinot', 'grilled', 'basil', 'maximum', 'gb', 'buffalo', 'borgo', 'truffle', 'galanti', 'piedmont', 'fries', 'vinuva', 'fantinel', 'all', 'veal', 'v', 'tomato', 'rocket', 'spinach', 'limoncello', 'sangiovese', 'be', 'amarone', 'taglioni', 'cheese', 'tiramisu', 'vidal', 'ravioli', 'prosecco', 'amodo', 'are', 'burrata', 'ferrari', 'italy', 'dry', 'rosato', 'alla', 'ruffino', 'ricotta', 'broccoli', 'chicken', 'saut', 'bresaola', 'grigio', 'ctes', 'gavi', 'day', 'terre', 'vermentino', 'marinara', 'with', 'uco', 'salad', 'igt', 'canestraia', 'gordonne', 'zuccardi', 'discretionary', 'jus', 'burgundy', 'margherita', 'del', 'france', 'carbonara', 'puglia', 'potatoes', 'to', 'evoo', 'four', 'roast', 'gravieres', 'include', 'siciliane', 'the', 'tuscany', 'by', 'served', 'vvggf', 'abruzzo', 'sage', 'enrico', 'months', 'cabernet', 'pannacotta', 'sardinia', 'gold', 'parini', 'butter', 'mozzarella', 'marlborough', 'valpolicella', 'granita', 'ice', 'di', 'nv', 'added', 'formaggi', 'ribeye', 'argentina', 'barbera', 'rubini', 'pecorino', 'sorbets', 'chardonnay', 'brazos', 'fillet', 'steak', 'bolla', 'peel', 'dabruzzo', 'grave', 'villa', 'ros', 'antonio', 'parmesan', 'sarments', 'chiaretto', 'tagliatelle', 'garlic', 'caramel', 'milanese', 'domaine', 'vignerons', 'marmora', 'pavia', 'zealand', 'fritti', 'calamari', 'bill', 'allumea', 'zucchini', 'ham', 'valley', 'spaghetti', 'tesis', 'vat', 'poeti', 'vita', 'treccia', 'cow', 'prices', 'grillo', 'aged', 'your', 'brut', 'pachino', 'davola', 'a', 'seabass', 'tuna', 'g', 'gr', 'veneto', 'extra']"
La Casa - Dalry Road,4.7,25 £ ou moins,Espagnole,[]
Butta Burger - George Street,4.3,25 £ ou moins,Burgers,[]
